mtry,min_n,.metric,.estimator,mean,n,std_err,.config
1,14,f_meas,macro,0.9015678504120677,5,0.012694415695749086,Preprocessor1_Model01
1,24,f_meas,macro,0.8914274345465792,5,0.01913371661703557,Preprocessor1_Model02
2,34,f_meas,macro,0.8942548503084304,5,0.01333828188991149,Preprocessor1_Model03
2,6,f_meas,macro,0.9091962744998701,5,0.008579860977904342,Preprocessor1_Model04
3,18,f_meas,macro,0.9057612669230369,5,0.011836096378508456,Preprocessor1_Model05
3,28,f_meas,macro,0.8995241390658966,5,0.009248413997438486,Preprocessor1_Model06
4,38,f_meas,macro,0.8908816121624535,5,0.012247483141653533,Preprocessor1_Model07
4,12,f_meas,macro,0.9116060193288216,5,0.010857325681637664,Preprocessor1_Model08
5,2,f_meas,macro,0.9139576489754487,5,0.008758128281979829,Preprocessor1_Model09
5,22,f_meas,macro,0.9053122135135729,5,0.013138269096140881,Preprocessor1_Model10
6,32,f_meas,macro,0.8924529394997617,5,0.013742366280645119,Preprocessor1_Model11
6,8,f_meas,macro,0.9151570551250796,5,0.011250822564319064,Preprocessor1_Model12
7,40,f_meas,macro,0.891806625323322,5,0.010958309054344946,Preprocessor1_Model13
7,16,f_meas,macro,0.9057151930281597,5,0.010194349350592085,Preprocessor1_Model14
8,26,f_meas,macro,0.8901036476589189,5,0.01513353988197006,Preprocessor1_Model15
9,4,f_meas,macro,0.9098780901080386,5,0.01014308671011304,Preprocessor1_Model16
10,36,f_meas,macro,0.8905962499834729,5,0.014004343471440984,Preprocessor1_Model17
11,20,f_meas,macro,0.8928419448702306,5,0.0172756601656421,Preprocessor1_Model18
12,10,f_meas,macro,0.9013154040439894,5,0.01119856287191345,Preprocessor1_Model19
13,30,f_meas,macro,0.882452713740742,5,0.017006192032230097,Preprocessor1_Model20
